Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
1/8/2021,96.83,3323000,95.44,97.61,95.88,385700,542400,-17.5
1/11/2021,100.2,4603900,96.83,100.29,97.26,642900,480200,18.5
1/12/2021,100.54,2344900,100.2,100.89,99.77,592100,425000,18.1
1/13/2021,98.99,2521600,100.54,101.32,98.73,534000,283100,29.2
1/14/2021,97.78,3680400,98.99,98.99,97.35,505400,1551000,-118.4
1/15/2021,98.47,2125700,97.78,99.68,97.78,314200,417900,-11.8
1/18/2021,97.95,2624000,98.47,99.51,97.95,357800,677400,-36.5
1/19/2021,93.11,3668300,97.95,97.95,92.5,1126772,1180772,-5.6
1/20/2021,94.23,3363700,93.11,94.67,91.64,1647300,707900,101.6
1/21/2021,95.36,2531200,94.23,95.7,94.06,586800,509300,8.4
1/22/2021,93.97,2429000,95.36,95.79,93.97,399600,1381100,-107.3
1/25/2021,93.54,2554800,93.97,94.84,93.37,356700,1424400,-116
1/26/2021,92.25,2596900,93.54,93.8,90.78,339400,1147000,-85.9
1/27/2021,89.31,3153800,92.25,92.33,88.61,565800,1514500,-99
1/28/2021,83.08,4565600,89.31,89.31,83.08,886900,1062200,-17.4
1/29/2021,88.87,4140500,83.08,88.87,82.99,1245900,925200,32.2
2/1/2021,88.79,2934800,88.87,90.95,88.18,2247700,1406100,87.5
2/2/2021,91.99,3350900,88.79,92.5,88.44,2462100,1321200,120.3
2/3/2021,94.84,3056500,91.99,94.84,91.99,1997500,708200,140.5
2/4/2021,94.06,1896800,94.84,94.84,92.5,1027100,433300,64.4
2/5/2021,94.75,2231200,94.06,95.1,93.89,1746800,844200,98.7
2/8/2021,91.03,4331600,94.75,94.75,89.74,1403000,2800900,-146.1
2/9/2021,93.37,1931700,91.03,94.15,90.69,2174800,2418600,-25.7
2/17/2021,93.97,2872300,93.37,94.15,92.76,640400,1689400,-113
2/18/2021,94.23,2847400,93.97,94.23,92.94,872100,1049500,-19.2
2/19/2021,93.37,2696500,94.23,94.23,92.59,540500,1619300,-116.3
2/22/2021,92.94,3006200,93.37,93.37,92.76,417500,2074040,-178.2
2/23/2021,92.5,3048400,92.94,93.37,91.81,1077700,2074100,-106.4
2/24/2021,91.47,2801000,92.5,93.28,91.21,245600,1435000,-126.6
2/25/2021,90.43,4282900,91.47,91.9,90.08,695700,2914000,-233.3
2/26/2021,90.6,3357800,90.43,90.69,89.39,487900,1808500,-137
3/1/2021,91.29,2179000,90.6,91.55,90.78,506900,1259100,-79.2
3/2/2021,90.69,3050100,91.29,92.07,89.91,297000,1905067,-168.9
3/3/2021,90.34,2551300,90.69,90.69,89.91,520200,1526900,-105
3/4/2021,89.39,2755100,90.34,91.21,89.05,517400,1239900,-74.9
3/5/2021,89.05,4187600,89.39,89.39,87.92,157700,2809500,-270.8
3/8/2021,88.35,3208200,89.05,89.57,87.92,74300,2065700,-203.9
3/9/2021,86.89,4141900,88.35,88.35,86.63,164700,2879600,-273
3/10/2021,87.4,3391300,86.89,88.61,86.28,205700,2047000,-185.5
3/11/2021,88.87,2417000,87.4,89.74,88.27,186300,1329900,-117.4
3/12/2021,88.35,2704600,88.87,89.31,87.92,727900,1287994,-57.5
3/15/2021,88.35,2379400,88.35,89.05,88.27,1005500,1174400,-17.3
3/16/2021,87.32,4121100,88.35,88.44,86.54,607700,2823300,-223.4
3/17/2021,86.89,3568400,87.32,87.32,86.54,282800,2313900,-203.9
3/18/2021,88.61,2553400,86.89,88.61,87.32,130200,1031000,-91.7
3/19/2021,87.92,2339400,88.61,88.61,87.66,211700,1388100,-119.7
3/22/2021,87.14,3416300,87.92,88.01,86.97,322800,1986500,-168
3/23/2021,86.63,4554300,87.14,87.14,86.19,379800,2251800,-187.6
3/24/2021,85.33,3192200,86.63,86.63,85.16,287400,801709,-51.2
3/25/2021,85.16,3152700,85.33,86.19,84.98,344200,1684600,-132.4
3/26/2021,84.21,3653700,85.16,85.16,83.51,614600,1212000,-58.3
3/29/2021,85.59,2790300,84.21,86.37,84.55,857800,1295300,-43.3
3/30/2021,85.76,2590400,85.59,86.54,85.24,2705700,2927600,-22
3/31/2021,85.07,2815600,85.76,85.76,84.72,354900,1774600,-139.9
4/1/2021,87.32,5594000,85.07,87.32,84.72,1158200,3025700,-186.8
4/2/2021,88.79,3840000,87.32,89.91,88.27,528000,629700,-10.4
4/5/2021,88.7,2822700,88.79,90.34,88.35,537600,525200,1.9
4/6/2021,87.75,3452600,88.7,88.79,87.14,373400,873200,-50.6
4/7/2021,86.54,3503700,87.75,87.75,86.45,730800,1634900,-90.7
4/8/2021,86.37,3603800,86.54,86.89,85.93,1051800,1354600,-30.3
4/9/2021,86.28,2716700,86.37,86.45,85.76,827900,925200,-9.8
4/12/2021,86.45,3632400,86.28,86.71,86.02,1330000,1880800,-55.1
4/13/2021,86.45,3799100,86.45,87.92,86.19,1618500,1692200,-7.2
4/14/2021,85.85,3498500,86.45,86.45,85.5,666400,2330100,-165.1
